Title	URL	Abstract views	PDF views	Original submission	Current submission
Can CRISPR-based gene drive be confined in the wild? A question for molecular and population biology	http://biorxiv.org/content/early/2017/08/09/173914	781	300	2017_08_09	2017_08_09
Bystro: Rapid online variant annotation and natural-language filtering at whole-genome scale	http://biorxiv.org/content/early/2017/08/09/146514	837	217	2017_06_6	2017_08_09
Spatial protein analysis in developing tissues: a sampling-based image processing approach	http://biorxiv.org/content/early/2017/08/09/163147	251	85	2017_08_09	2017_08_09
Rescuing Hidden Ecological Data to Tackle Emerging Mosquito-Borne Diseases	http://biorxiv.org/content/early/2017/08/09/096875	1705	637	2017_01_6	2017_08_09
Asymmetry of an intracellular scaffold at vertebrate electrical synapses	http://biorxiv.org/content/early/2017/08/09/173955	226	50	2017_08_09	2017_08_09
Granatum: a graphical single-cell RNA-Seq analysis pipeline for genomics scientists	http://biorxiv.org/content/early/2017/08/08/110759	4598	1979	2017_03_23	2017_08_08
Histopathological image QTL discovery of thyroid autoimmune disease variants	http://biorxiv.org/content/early/2017/08/08/126730	1702	463	2017_04_11	2017_08_08
Implications of de novo mutations in guiding drug discovery: A study of four neuropsychiatric disorders	http://biorxiv.org/content/early/2017/08/08/173641	423	92	2017_08_08	2017_08_08
Genome size and the extinction of small populations	http://biorxiv.org/content/early/2017/08/08/173690	653	146	2017_08_08	2017_08_08
Advanced whole genome sequencing and analysis of fetal genomes from amniotic fluid	http://biorxiv.org/content/early/2017/08/08/173807	696	167	2017_08_08	2017_08_08
SureMap: Versatile, Error Tolerant, and High Sensitive Read Mapper	http://biorxiv.org/content/early/2017/08/08/173740	814	287	2017_08_08	2017_08_08
Global and local excitation and inhibition shape the dynamics of the cortico-striatal-thalamo-cortical pathway	http://biorxiv.org/content/early/2017/08/08/173658	308	110	2017_08_08	2017_08_08
MEG-BIDS: an extension to the Brain Imaging Data Structure for magnetoencephalography	http://biorxiv.org/content/early/2017/08/08/172684	1590	387	2017_08_08	2017_08_08
Cerebellar Purkinje cell simple spike activity in awake mice represents phase differences between oscillations in medial prefrontal cortex and hippocampus	http://biorxiv.org/content/early/2017/08/08/173849	319	90	2017_08_08	2017_08_08
N-methyl-bacillithiol, a new metabolite discovered in the Chlorobiaceae, indicates that bacillithiol and derivatives are widely phylogenetically distributed.	http://biorxiv.org/content/early/2017/08/08/173617	271	68	2017_08_08	2017_08_08
Structural basis of the Cope rearrangement and C−C bond-forming cascade in hapalindole/fischerindole biogenesis	http://biorxiv.org/content/early/2017/08/08/173674	335	104	2017_08_08	2017_08_08
neoantigenR: An annotation based pipeline for tumor neoantigen identification from sequencing data	http://biorxiv.org/content/early/2017/08/08/171843	590	167	2017_08_08	2017_08_08
Indole-3-Acetaldehyde Dehydrogenase-dependent Auxin Synthesis Contributes to Virulence of Pseudomonas syringae Strain DC3000	http://biorxiv.org/content/early/2017/08/08/173302	172	85	2017_08_08	2017_08_08
A structural and kinetic link between membrane association and amyloid fibril formation of α-Synuclein	http://biorxiv.org/content/early/2017/08/08/173724	315	72	2017_08_08	2017_08_08
Tau directs intracellular trafficking by regulating the forces exerted by kinesin and dynein teams	http://biorxiv.org/content/early/2017/08/08/173609	675	177	2017_08_08	2017_08_08
Energetics and Conformational Pathways of Functional Rotation in the Multidrug Transporter AcrB	http://biorxiv.org/content/early/2017/08/08/173567	422	134	2017_08_08	2017_08_08
Comparative Analysis of Non-linear Behaviour with Power Spectral Intensity Response Between Normal and Epileptic EEG Signals	http://biorxiv.org/content/early/2017/08/08/173518	267	108	2017_08_08	2017_08_08
NeatSeq-Flow: A Lightweight Software for Efficient Execution of High Throughput Sequencing Workflows	http://biorxiv.org/content/early/2017/08/08/173005	458	117	2017_08_08	2017_08_08
Joint regulation of growth and division timing drives size homeostasis in proliferating animal cells	http://biorxiv.org/content/early/2017/08/08/173070	349	100	2017_08_08	2017_08_08
A New Mechanism To Identify Cost Savings in NHS Prescribing: Minimising 'Price-Per-Unit'	http://biorxiv.org/content/early/2017/08/08/172569	954	451	2017_08_4	2017_08_08
Partitioning plant genetic and environmental drivers of above and belowground community assembly	http://biorxiv.org/content/early/2017/08/08/173500	293	52	2017_08_08	2017_08_08
Genomewide association study identifies 30 loci associated with bipolar disorder	http://biorxiv.org/content/early/2017/08/08/173062.1	2275	838	2017_08_8	2017_08_08
Genomic dissection of bipolar disorder and schizophrenia including 28 subphenotypes	http://biorxiv.org/content/early/2017/08/08/173435	1687	400	2017_08_08	2017_08_08
Dynamic Phase Synchrony based Ranked Spatio-Temporal Clustering for Tracking Time-Resolved Functional Brain Networks	http://biorxiv.org/content/early/2017/08/08/172981	314	128	2017_08_08	2017_08_08
A spatial memory signal shows that the parietal cortex has access to a craniotopic representation of space	http://biorxiv.org/content/early/2017/08/08/173245	260	64	2017_08_08	2017_08_08
Compositional heterogeneity and outgroup choice influence the internal phylogeny of the ants	http://biorxiv.org/content/early/2017/08/08/173393	648	224	2017_08_08	2017_08_08
MERS-CoV NSP16 necessary for IFN resistance and viral pathogenesis	http://biorxiv.org/content/early/2017/08/08/173286	287	76	2017_08_08	2017_08_08
Impaired brain glymphatic flow in a rodent model of chronic liver disease and minimal hepatic encephalopathy	http://biorxiv.org/content/early/2017/08/08/173526	226	43	2017_08_08	2017_08_08
The fallacy of identification by neutralization in the light of cytopathology nonproducing enterovirus strains	http://biorxiv.org/content/early/2017/08/08/173419	501	31	2017_08_08	2017_08_08
Multimodal Study of Resting-State Functional Connectivity Networks using EEG electrodes position as seed	http://biorxiv.org/content/early/2017/08/08/167585	301	58	2017_08_08	2017_08_08
Heterogeneities in afferent connectivity dominate local heterogeneities in the emergence of response decorrelation in the dentate gyrus	http://biorxiv.org/content/early/2017/08/08/173450	319	66	2017_08_08	2017_08_08
Recurrent excitation between motoneurones propagates across segments and is purely glutamatergic	http://biorxiv.org/content/early/2017/08/08/160150	502	182	2017_07_6	2017_08_08
Prioritizing 2nd and 3rd order interactions via support vector ranking using sensitivity indices on static Wnt measurements	http://biorxiv.org/content/early/2017/08/08/059469	1275	219	2016_10_9	2017_08_08
Interpreting Temporal Fluctuations In Resting-State Functional Connectivity MRI	http://biorxiv.org/content/early/2017/08/08/135681	2617	1096	2017_05_9	2017_08_08
Genotypic variability enhances the reproducibility of an ecological study	http://biorxiv.org/content/early/2017/08/08/080119	1924	627	2016_10_10	2017_08_08
A Neural Mechanism for the Opportunity Cost of Time	http://biorxiv.org/content/early/2017/08/08/173443	651	203	2017_08_08	2017_08_08
Expanding primary cells from mucoepidermoid and other salivary gland neoplasms for genetic and chemosensitivity testing	http://biorxiv.org/content/early/2017/08/08/171652	183	53	2017_08_08	2017_08_08
Parasympathetic and sympathetic activity are associated with individual differences in neural indices of selective attention in adults	http://biorxiv.org/content/early/2017/08/08/173377	325	92	2017_08_08	2017_08_08
Effects of mutation and selection on plasticity of TDH3 promoter activity in Saccharomyces cerevisiae	http://biorxiv.org/content/early/2017/08/08/173344	394	79	2017_08_08	2017_08_08
Role of Immune Checkpoint Proteins in Idiopathic Pulmonary Fibrosis	http://biorxiv.org/content/early/2017/08/08/173237	411	68	2017_08_08	2017_08_08
chewBBACA: A complete suite for gene-by-gene schema creation and strain identification	http://biorxiv.org/content/early/2017/08/08/173146	991	193	2017_08_08	2017_08_08
dRNA-seq implicates sulfide as master regulator of S(0) metabolism in Chlorobaculum tepidum and other green sulfur bacteria	http://biorxiv.org/content/early/2017/08/07/172254	356	49	2017_08_07	2017_08_07
Novel pleiotropic risk loci for melanoma and nevus density implicate multiple biological pathways	http://biorxiv.org/content/early/2017/08/07/173112	969	182	2017_08_07	2017_08_07
Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines	http://biorxiv.org/content/early/2017/08/07/128447	694	101	2017_08_07	2017_08_07
TraPS-VarI: a python module for the identification of STAT3 modulating germline receptor variants	http://biorxiv.org/content/early/2017/08/07/173047.1	498	63	2017_08_7	2017_08_07
BLM helicase suppresses recombination at G-quadruplex motifs in transcribed genes	http://biorxiv.org/content/early/2017/08/07/173252	350	71	2017_08_07	2017_08_07
Asleep at the Wheel: Forward Genetic ENU Mutagenesis Screen for Mouse Models of Chronic Fatigue Identifies a Mutation in Slc2a4 (GLUT4)	http://biorxiv.org/content/early/2017/08/07/163378	435	104	2017_07_13	2017_08_07
Beyond the labeled line: variation in visual reference frames from intraparietal cortex to frontal eye fields and the superior colliculus	http://biorxiv.org/content/early/2017/08/07/124628	712	232	2017_06_1	2017_08_07
iSUMO - integrative prediction of functionally relevant SUMOylation events	http://biorxiv.org/content/early/2017/08/07/056564	1484	437	2017_08_5	2017_08_07
Random Sequences Rapidly Evolve Into De Novo Promoters	http://biorxiv.org/content/early/2017/08/07/111880	3359	1209	2017_05_19	2017_08_07
Structural Basis of Mitochondrial Receptor Binding and GTP Driven Conformational Constriction by Dynamin-Related Protein 1	http://biorxiv.org/content/early/2017/08/07/172809	652	233	2017_08_4	2017_08_07
Reverse-Correlation Analysis of Mechanosensation Circuit in C. elegans Reveals Temporal and Spatial Encoding	http://biorxiv.org/content/early/2017/08/07/147363	492	185	2017_06_9	2017_08_07
Catecholamines, not acetylcholine, alter cortical and perceptual dynamics in line with increased excitation-inhibition ratio	http://biorxiv.org/content/early/2017/08/07/170613	968	315	2017_08_4	2017_08_07
The Reproducibility Of Research And The Misinterpretation Of P Values	http://biorxiv.org/content/early/2017/08/07/144337	10974	11252	2017_08_2	2017_08_07
Recurrent convolutional neural networks: a better model of biological object recognition	http://biorxiv.org/content/early/2017/08/07/133330	1878	987	2017_05_2	2017_08_07
GABAergic inhibition of leg motoneurons is required for normal walking behavior in freely moving Drosophila	http://biorxiv.org/content/early/2017/08/07/173120	661	174	2017_08_07	2017_08_07
Cpk2, a catalytic subunit of cyclic AMP-PKA, regulates growth and pathogenesis in rice blast	http://biorxiv.org/content/early/2017/08/07/173104	333	87	2017_08_07	2017_08_07
Gossypol biosynthesis in cotton revealed through organ culture, plant grafting and gene expression profiling	http://biorxiv.org/content/early/2017/08/07/173138	234	67	2017_08_07	2017_08_07
Euclidean distance as a measure to distinguish ventral and dorsal white matter connectivity in the human brain	http://biorxiv.org/content/early/2017/08/07/053959	886	219	2016_05_17	2017_08_07
De novo draft assembly of the Botrylloides leachii genome provides further insight into tunicate evolution.	http://biorxiv.org/content/early/2017/08/06/152983	631	254	2017_06_21	2017_08_06
A genetic screen suggests an alternative mechanism for inhibition of SecA by azide	http://biorxiv.org/content/early/2017/08/06/173039	354	64	2017_08_06	2017_08_06
Human hippocampal replay during rest prioritizes weakly-learned information and predicts memory performance	http://biorxiv.org/content/early/2017/08/06/173021	1558	482	2017_08_06	2017_08_06
Response of oriental xerophytes to the occidental industrial revolution	http://biorxiv.org/content/early/2017/08/06/173013	382	74	2017_08_06	2017_08_06
Improving the quality of combined EEG-TMS neural recordings: Introducing the Coil Spacer	http://biorxiv.org/content/early/2017/08/06/170431	426	83	2017_07_31	2017_08_06
Multivariate pattern analysis for MEG: a comprehensive comparison of dissimilarity measures	http://biorxiv.org/content/early/2017/08/06/172619	820	285	2017_08_4	2017_08_06
Cool Enough for School: Second Version of Google Glass Rated by Children Facing Challenges to Social Integration as Desirable to Wear at School	http://biorxiv.org/content/early/2017/08/06/171033	687	115	2017_08_4	2017_08_06
Safety and Lack of Negative Effects of Wearable Augmented-Reality Social Communication Aid for Children and Adults with Autism	http://biorxiv.org/content/early/2017/08/06/164335	916	251	2017_08_4	2017_08_06
Histone H4 acetylation regulates behavioral inter-individual variability in zebrafish	http://biorxiv.org/content/early/2017/08/06/100230	887	191	2017_01_13	2017_08_06
DeepATAC: A deep-learning method to predict regulatory factor binding activity from ATAC-seq signals	http://biorxiv.org/content/early/2017/08/06/172767	2935	1178	2017_08_06	2017_08_06
geneXtendeR: optimized functional annotation of ChIP-seq data	http://biorxiv.org/content/early/2017/08/06/082347	1288	406	2016_10_21	2017_08_06
Replicability of time-varying connectivity patterns in large resting state fMRI samples	http://biorxiv.org/content/early/2017/08/06/172866	1109	344	2017_08_06	2017_08_06
Microbial mutualism at a distance	http://biorxiv.org/content/early/2017/08/06/172924	313	58	2017_08_06	2017_08_06
Archaeogenetics of Late Iron Age Çemialo Sırtı, Batman: Investigating maternal genetic continuity in North Mesopotamia since the Neolithic	http://biorxiv.org/content/early/2017/08/06/172890	854	258	2017_08_06	2017_08_06
Multi-allelic Exact tests for Hardy-Weinberg equilibrium that account for gender	http://biorxiv.org/content/early/2017/08/06/172874	364	85	2017_08_06	2017_08_06
Anisotropic Cellular Mechanoresponse for Radial Size Maintenance of Developing Epithelial Tubes	http://biorxiv.org/content/early/2017/08/05/172916	384	112	2017_08_05	2017_08_05
CBFβ initiates the hematopoietic stem cell program without obligatory binding to RUNX	http://biorxiv.org/content/early/2017/08/05/172957	340	105	2017_08_05	2017_08_05
Interplay between mitochondria and diet mediates pathogen and stress resistance in C. elegans	http://biorxiv.org/content/early/2017/08/05/154393	423	189	2017_06_23	2017_08_05
Understanding the dynamics of scaffold-mediated signaling	http://biorxiv.org/content/early/2017/08/05/167205	447	140	2017_07_21	2017_08_05
Ethoscopes: An Open Platform For High-Throughput Ethomics	http://biorxiv.org/content/early/2017/08/05/113647	3322	1044	2017_04_2	2017_08_05
Evolution of the sex ratio and effective number under gynodioecy and androdioecy	http://biorxiv.org/content/early/2017/08/05/113605	857	363	2017_06_14	2017_08_05
Evolution of steroid specificity in human, chicken, alligator, frog and zebrafish mineralocorticoid receptors: Allosteric interactions affect steroid specificity	http://biorxiv.org/content/early/2017/08/04/151233	443	87	2017_06_16	2017_08_04
A Liquid Chromatography-Mass Spectrometry Method For Screening Disulfide Tethering Fragments	http://biorxiv.org/content/early/2017/08/04/138941	571	130	2017_05_17	2017_08_04
DNA Damage Checkpoint Dynamics Drive Cell Cycle Phase Transitions	http://biorxiv.org/content/early/2017/08/04/137307	1025	352	2017_05_12	2017_08_04
Adaptive potential of a drug-targeted viral protein as a function of positive selection	http://biorxiv.org/content/early/2017/08/04/078428	1675	476	2016_11_18	2017_08_04
Mouse MRI shows brain areas larger in males emerge earlier than those larger in females	http://biorxiv.org/content/early/2017/08/04/172841	414	78	2017_08_04	2017_08_04
Modulation of host learning in Aedes aegypti mosquitoes	http://biorxiv.org/content/early/2017/08/04/172726	576	237	2017_08_04	2017_08_04
Nonconsumptive predator effects on prey demography: Dogwhelk cues decrease benthic mussel recruitment	http://biorxiv.org/content/early/2017/08/04/172692	221	43	2017_08_04	2017_08_04
A functioning model of human time perception	http://biorxiv.org/content/early/2017/08/04/172387	893	264	2017_08_04	2017_08_04
Repeated vapor inhalation of Δ9-tetrahydrocannabinol induces tolerance to hypothermia in female rats	http://biorxiv.org/content/early/2017/08/04/172759	364	45	2017_08_04	2017_08_04
Very high density EEG elucidates spatiotemporal aspects of early visual processing	http://biorxiv.org/content/early/2017/08/04/172353	307	111	2017_08_04	2017_08_04
Cortical interneurons ensure maintenance of frequency tuning following adaptation.	http://biorxiv.org/content/early/2017/08/04/172338	672	221	2017_08_04	2017_08_04
T-cell receptor sequencing of early stage breast cancer tumors identifies altered clonal structure of the T-cell repertoire	http://biorxiv.org/content/early/2017/08/04/172494	510	475	2017_08_04	2017_08_04
The RNA-binding site of poliovirus 3C protein doubles as a phosphoinositide-binding domain	http://biorxiv.org/content/early/2017/08/04/172742	454	93	2017_08_04	2017_08_04
NmeCas9 is an intrinsically high-fidelity genome editing platform	http://biorxiv.org/content/early/2017/08/04/172650	931	277	2017_08_04	2017_08_04
GTP Hydrolysis by eIF5B in the Last Step of Translation Initiation Is Activated by a Rotation of the Small Ribosomal Subunit.	http://biorxiv.org/content/early/2017/08/04/172825	321	109	2017_08_04	2017_08_04
Capture-based DNA methylation sequencing facilitates diagnosis and reveals potential pathogenic mechanisms in teratogenic diabetes exposure	http://biorxiv.org/content/early/2017/08/04/172262	604	83	2017_08_04	2017_08_04
HiCRep: assessing the reproducibility of Hi-C data using a stratum-adjusted correlation coefficient	http://biorxiv.org/content/early/2017/08/04/101386	3069	985	2017_07_27	2017_08_04
Estimating Autoantibody Signatures To Detect Autoimmune Disease Patient Subsets	http://biorxiv.org/content/early/2017/08/04/128199	946	159	2017_04_21	2017_08_04
Integrator Subunit 4 is a 'Symplekin-like' Scaffold that Associates with INTS9/11 to Form the Integrator Cleavage Module	http://biorxiv.org/content/early/2017/08/04/172635	209	79	2017_08_04	2017_08_04
Whole chromosome loss in tetraploid cells confers tumorigenic potential in a mouse allograft model	http://biorxiv.org/content/early/2017/08/04/172668	302	87	2017_08_04	2017_08_04
Uncovering Medical Insights from Vast Amounts of Biomedical Data in Clinical Case Reports	http://biorxiv.org/content/early/2017/08/04/172460.1	482	82	2017_08_4	2017_08_04
Targeting Vaccinations for the Licensed Dengue Vaccine: Considerations for Serosurvey Design	http://biorxiv.org/content/early/2017/08/04/171140	301	71	2017_08_04	2017_08_04
The Impact of Education on Myopia: A bidirectional Mendelian randomisation analysis in UK Biobank	http://biorxiv.org/content/early/2017/08/04/172247	676	127	2017_08_04	2017_08_04
Long non-coding RNA repertoire and regulation by nuclear exosome, cytoplasmic exonuclease and RNAi in fission yeast	http://biorxiv.org/content/early/2017/08/04/158477	751	199	2017_07_2	2017_08_04
From brain noise to syntactic structures: A formal proposal within the oscillatory rhythms perspective	http://biorxiv.org/content/early/2017/08/04/171702	519	253	2017_08_04	2017_08_04
An Efficient Moments-Based Inference Method for Within-Host Bacterial Infection Dynamics	http://biorxiv.org/content/early/2017/08/04/116319	694	184	2017_04_13	2017_08_04
Protection of the human gut microbiome from antibiotics	http://biorxiv.org/content/early/2017/08/04/169813	1818	1086	2017_08_04	2017_08_04
Empirical evidence reveals the phase diagram of vegetation patterns in Mediterranean drylands	http://biorxiv.org/content/early/2017/08/04/171835	311	93	2017_08_3	2017_08_04
Protein phosphatase V ensures timely cell cycle remodeling during the mid-blastula transition in Drosophila	http://biorxiv.org/content/early/2017/08/04/172379	306	59	2017_08_04	2017_08_04
SeedVicious: analysis of microRNA target and near-target sites	http://biorxiv.org/content/early/2017/08/04/124529	1132	247	2017_04_5	2017_08_04
Systematic analysis of cell phenotypes and cellular social networks in tissues using the histology topography cytometry analysis toolbox (histoCAT)	http://biorxiv.org/content/early/2017/08/04/109207	3322	1822	2017_02_17	2017_08_04
Genomes of an entire Plasmodium subgenus reveal paths to virulent human malaria	http://biorxiv.org/content/early/2017/08/04/095679	1447	484	2016_12_20	2017_08_04
SVclone: inferring structural variant cancer cell fraction	http://biorxiv.org/content/early/2017/08/04/172486	945	283	2017_08_04	2017_08_04
Multi-clonal evolution of MDR/XDR M. tuberculosis in a high prevalence setting in Papua New Guinea over three decades	http://biorxiv.org/content/early/2017/08/04/172601	414	92	2017_08_04	2017_08_04
Regulation of mesenchymal stem cell function by TGFβ-1 on mast cell extracellular vesicles — role of endosomal retention	http://biorxiv.org/content/early/2017/08/04/172213	324	98	2017_08_04	2017_08_04
ShhN-mediated activation of Smo in the absence of Ptch1/2 function	http://biorxiv.org/content/early/2017/08/04/172429	600	306	2017_08_04	2017_08_04
Cell-free prediction of protein expression costs for growing cells	http://biorxiv.org/content/early/2017/08/04/172627	893	356	2017_08_04	2017_08_04
Reverse Association Of Single Cells To Rheumatoid Arthritis Accounting For Mixed Effects Identifies An Expanded CD27- HLA-DR+ Effector Memory CD4+ T Cell Population	http://biorxiv.org/content/early/2017/08/04/172403	919	277	2017_08_04	2017_08_04
Clearance of senescent decidual cells by uterine natural killer cells drives endometrial remodeling during the window of implantation	http://biorxiv.org/content/early/2017/08/04/172593	982	192	2017_08_04	2017_08_04
Piper longum Linn: A review of its phytochemicals and their network pharmacological evaluation	http://biorxiv.org/content/early/2017/08/04/169763	230	86	2017_08_04	2017_08_04
SEA: The Small RNA Expression Atlas	http://biorxiv.org/content/early/2017/08/04/133199	587	133	2017_08_04	2017_08_04
Mineral analysis of complete dog and cat foods in the UK and compliance with European guidelines	http://biorxiv.org/content/early/2017/08/04/172544	408	142	2017_08_04	2017_08_04
Liver physiological T1rho dynamics associated with age and gender	http://biorxiv.org/content/early/2017/08/04/172478	223	58	2017_08_04	2017_08_04
Enabling cross-study analysis of RNA-Sequencing data	http://biorxiv.org/content/early/2017/08/04/110734	3598	1843	2017_02_27	2017_08_04
Task Demands Predict a Dynamic Switch in the Content of Awake Hippocampal Replay	http://biorxiv.org/content/early/2017/08/04/172098	662	207	2017_08_04	2017_08_04
Harnessing sleep/wake state tracking by olfactory bulb oscillations to perform fully brain-based sleep scoring in mice	http://biorxiv.org/content/early/2017/08/04/109033	624	421	2017_02_16	2017_08_04
Chromatin domains are encoded and molded by isochores	http://biorxiv.org/content/early/2017/08/04/096487	2670	823	2017_05_10	2017_08_04
Beyond Brownian motion and the Ornstein-Uhlenbeck process: Stochastic diffusion models for the evolution of quantitative characters.	http://biorxiv.org/content/early/2017/08/04/067363	1547	1100	2016_08_2	2017_08_04
Dynamics of brain activity reveal a unitary recognition signal	http://biorxiv.org/content/early/2017/08/03/165225	505	126	2017_07_19	2017_08_03
Linear relationship between peak and season-long abundances in insects	http://biorxiv.org/content/early/2017/08/03/172270	194	34	2017_08_03	2017_08_03
Bots for Software-Assisted Analysis of Image-Based Transcriptomics	http://biorxiv.org/content/early/2017/08/03/172296	622	195	2017_08_03	2017_08_03
A quantitative chemotherapy genetic interaction map reveals new factors associated with PARP inhibitor resistance	http://biorxiv.org/content/early/2017/08/03/171918	536	178	2017_08_03	2017_08_03
Confidence-dependent accumulation of past decision variables biases perceptual choice	http://biorxiv.org/content/early/2017/08/03/172049	779	257	2017_08_03	2017_08_03
Ingredients in Victoria's Secret Bombshell and Ivanka Trump eaux de parfums that repel mosquitoes	http://biorxiv.org/content/early/2017/08/03/172304	2144	355	2017_08_03	2017_08_03
Dissociable components of the reward circuit are involved in appraisal versus choice	http://biorxiv.org/content/early/2017/08/03/172320	474	187	2017_08_03	2017_08_03
Ageing synaptic vesicles are inactivated by contamination with SNAP25	http://biorxiv.org/content/early/2017/08/03/172239	548	73	2017_08_03	2017_08_03
Tolloid cleavage activates latent GDF8 by priming the pro-complex for dissociation	http://biorxiv.org/content/early/2017/08/03/154823	354	122	2017_06_23	2017_08_03
Oasis2.0: improved online analysis of small RNA-seq data	http://biorxiv.org/content/early/2017/08/03/170738	746	128	2017_08_1	2017_08_03
The GSS is an unreliable indicator of biological sciences postdoc population trends	http://biorxiv.org/content/early/2017/08/03/171314	939	259	2017_08_2	2017_08_03
Heterogeneity and Intrinsic Variation in Spatial Genome Organization	http://biorxiv.org/content/early/2017/08/03/171801	2179	847	2017_08_2	2017_08_03
Systematic mapping of chromatin state landscapes during mouse development	http://biorxiv.org/content/early/2017/08/03/166652	3871	1501	2017_07_21	2017_08_03
Compartmental and spatial rule-based modeling with Virtual Cell (VCell)	http://biorxiv.org/content/early/2017/08/03/146225	561	139	2017_06_5	2017_08_03
Collection and Storage of HLA NGS Genotyping Data for the 17th International HLA and Immunogenetics Workshop	http://biorxiv.org/content/early/2017/08/03/116871	452	118	2017_08_03	2017_08_03
Kinesin-6 KIF20B is required for efficient cytokinetic furrowing and timely abscission in human cells	http://biorxiv.org/content/early/2017/08/03/171900	320	121	2017_08_03	2017_08_03
Pathway centrality in protein interaction networks identifies functional mediators of pulmonary disease	http://biorxiv.org/content/early/2017/08/03/171942	382	74	2017_08_03	2017_08_03
Anti-infective potential of a quorum modulatory polyherbal extract (Panchvalkal) against certain pathogenic bacteria	http://biorxiv.org/content/early/2017/08/03/172056	294	68	2017_08_03	2017_08_03
Heritable cognitive and psychopathology factors in youth are predicted by brain fronto-temporal white matter pathway	http://biorxiv.org/content/early/2017/08/03/172080	294	63	2017_08_03	2017_08_03
Biophysical determinants of mutational robustness in a viral molecular fitness landscape	http://biorxiv.org/content/early/2017/08/03/172197	456	106	2017_08_03	2017_08_03
Optimization of selective phenotyping and population design for genomic prediction	http://biorxiv.org/content/early/2017/08/03/172064	555	143	2017_08_03	2017_08_03
Fog and live fuel moisture in coastal California shrublands	http://biorxiv.org/content/early/2017/08/03/171850	364	46	2017_08_03	2017_08_03
Convex Optimized Population Receptive Field (CO-pRF) Mapping	http://biorxiv.org/content/early/2017/08/03/172189	271	76	2017_08_03	2017_08_03
Role of KCC2-Dependent Potassium Efflux in 4-Aminopyridine-Induced Epileptiform Synchronization	http://biorxiv.org/content/early/2017/08/03/171488	226	37	2017_08_03	2017_08_03
Seizure epicenter depth and translaminar field potential synchrony underlie complex variations in tissue oxygenation during ictal initiation.	http://biorxiv.org/content/early/2017/08/03/172148	238	64	2017_08_03	2017_08_03
Symmetric, explicit numerical integrator for molecular dynamics equations of motion with a generalized friction	http://biorxiv.org/content/early/2017/08/03/172023	259	62	2017_08_03	2017_08_03
An improved method for the expression screening of membrane protein-GFP fusions in yeast	http://biorxiv.org/content/early/2017/08/03/172114	553	155	2017_08_03	2017_08_03
Programming of neural progenitors of the adult subependymal zone towards a glutamatergic identity by neurogenin2	http://biorxiv.org/content/early/2017/08/03/171686	307	93	2017_08_03	2017_08_03
The contributions of the actin machinery to endocytic membrane bending and vesicle formation	http://biorxiv.org/content/early/2017/08/03/172072	706	223	2017_08_03	2017_08_03
New waves: Rhythmic electrical field stimulation systematically alters spontaneous slow dynamics across mouse neocortex	http://biorxiv.org/content/early/2017/08/03/171926	389	126	2017_08_03	2017_08_03
Midfrontal theta and pupil dilation parametrically track subjective conflict (but also surprise) during intertemporal choice	http://biorxiv.org/content/early/2017/08/03/172122	543	219	2017_08_03	2017_08_03
T1 white/gray contrast as a predictor of chronological age, and an index of cognitive performance	http://biorxiv.org/content/early/2017/08/03/171892	342	82	2017_08_03	2017_08_03
The structured demography of open populations in fluctuating environments	http://biorxiv.org/content/early/2017/08/03/171884	325	76	2017_08_03	2017_08_03
System-level studies of a cell-free transcription-translation platform for metabolic engineering	http://biorxiv.org/content/early/2017/08/03/172007	1015	263	2017_08_03	2017_08_03
Effect of 40Gy irradiation on the ultrastructure, biochemistry, morphology and cytology during spermatogenesis in the southern green stink bug Nezara viridula (Hemiptera: Pentatomidae)	http://biorxiv.org/content/early/2017/08/03/171991	212	51	2017_08_03	2017_08_03
A Model for Genome-First Care: Returning Secondary Genomic Findings to Participants and Their Healthcare Providers in a Large Research Cohort	http://biorxiv.org/content/early/2017/08/03/166975	504	145	2017_08_03	2017_08_03
First Draft Genome Sequence of the Pathogenic Fungus Lomentospora prolificans (formerly Scedosporium prolificans)	http://biorxiv.org/content/early/2017/08/03/171975	765	222	2017_08_03	2017_08_03
Individual heterogeneity and capture-recapture models: what, why and how?	http://biorxiv.org/content/early/2017/08/03/120683	844	404	2017_03_26	2017_08_03
Non-random mating and information theory	http://biorxiv.org/content/early/2017/08/03/095901	727	139	2016_12_21	2017_08_03
Single-cell RNA-Sequencing uncovers transcriptional states and fate decisions in haematopoiesis	http://biorxiv.org/content/early/2017/08/03/117960	1932	784	2017_03_18	2017_08_03
Revisiting Chemoaffinity Theory: Chemotactic Implementation Of Topographic Axonal Projection	http://biorxiv.org/content/early/2017/08/03/136291	716	171	2017_07_4	2017_08_03
A cascade of destabilizations: combining Wolbachia and Allee effects to eradicate insect pests	http://biorxiv.org/content/early/2017/08/03/064774	893	228	2016_11_21	2017_08_03
FlyClockbase: Importance of Biological Model Curation for Analyzing Variability in the Circadian Clock of Drosophila melanogaster by Integrating Time Series from 25 Years of Research	http://biorxiv.org/content/early/2017/08/03/099192	1219	232	2017_02_8	2017_08_03
Bioinformatics Core Competencies for Undergraduate Life Sciences Education	http://biorxiv.org/content/early/2017/08/03/170993	6600	2683	2017_08_03	2017_08_03
A dynamic microbial community with high functional redundancy inhabits the cold, oxic subseafloor aquifer	http://biorxiv.org/content/early/2017/08/03/171934	494	122	2017_08_03	2017_08_03
